BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
,15121500,LUBRICATING PREPARATIONS,LUBRICATING PREPARATIONS,LUBRICATING PREPARATIONS,,,,0,"['LUBRICATING', 'PREPARATIONS']",11/20/2017,10/13/2021,,-1
,47131800,CLEANING AND DISINFECTING SOLUTIONS,CLEANING AND DISINFECTING SOLUTIONS,CLEANING AND DISINFECTING SOLUTIONS,,,,0,"['CLEANING', 'AND', 'DISINFECTING', 'SOLUTIONS']",11/20/2017,10/13/2021,,-1
,77101503,ENVIRONMENTAL INDICATORS ANALYSIS,ENVIRONMENTAL INDICATORS ANALYSIS,ENVIRONMENTAL INDICATORS ANALYSIS,,,,0,"['ENVIRONMENTAL', 'INDICATORS', 'ANALYSIS']",11/20/2017,10/13/2021,,-1
,15121902,GREASE,GREASE,GREASE,,,,0,['GREASE'],11/20/2017,10/13/2021,,-1
,12000000,CHEMICALS INCLUDING BIO CHEMICALS AND GA,CHEMICALS INCLUDING BIO CHEMICALS AND GAS MATERIALS,CHEMICALS INCLUDING BIO CHEMICALS AND GAS MATERIALS,,,,0,"['CHEMICALS', 'INCLUDING', 'BIO', 'CHEMICALS', 'AND', 'GA']",11/20/2017,10/13/2021,,-1
,15120000,LUBRICANTS AND OILS AND GREASES AND ANTI,LUBRICANTS AND OILS AND GREASES AND ANTI CORROSIVES,LUBRICANTS AND OILS AND GREASES AND ANTI CORROSIVES,,,,0,"['LUBRICANTS', 'AND', 'OILS', 'AND', 'GREASES', 'AND', 'ANTI']",11/20/2017,10/13/2021,,-1
,31201600,OTHER ADHESIVES AND SEALANTS,OTHER ADHESIVES AND SEALANTS,OTHER ADHESIVES AND SEALANTS,,,,0,"['OTHER', 'ADHESIVES', 'AND', 'SEALANTS']",11/20/2017,10/13/2021,,-1
,12352300,INORGANIC COMPOUNDS,INORGANIC COMPOUNDS,INORGANIC COMPOUNDS,,,,0,"['INORGANIC', 'COMPOUNDS']",11/20/2017,10/13/2021,,-1
,50202301,WATER,WATER,WATER,,,,0,['WATER'],11/20/2017,10/13/2021,,-1
,12163600,CORROSION INHIBITORS,CORROSION INHIBITORS,CORROSION INHIBITORS,,,,0,"['CORROSION', 'INHIBITORS']",11/20/2017,10/13/2021,,-1
,15000000,FUELS AND FUEL ADDITIVES AND LUBRICANTS,FUELS AND FUEL ADDITIVES AND LUBRICANTS AND ANTI CORROSIVE MATERIALS,FUELS AND FUEL ADDITIVES AND LUBRICANTS AND ANTI CORROSIVE MATERIALS,,,,0,"['FUELS', 'AND', 'FUEL', 'ADDITIVES', 'AND', 'LUBRICANTS']",11/20/2017,10/13/2021,,-1
,36006738,"OIL:TURBO,DRUM","OIL: TURBO,DRUM","EASTMAN TURBO OIL 2197,DRUM OF 208L",EASTMAN CHEMICAL,2197,EA,3150.43,"['OIL:TURBO', 'DRUM']",11/20/2017,10/13/2021,,-1
,223446_339,"INHIB:CORROSION,20L CAN,150,RUSTILO","INHIBITOR: CORROSION,20L CAN,150,RUSTILO","INHIBITOR:CORROSION,20L CAN,TYPE 150,RUS",CASTROL,15A018,EA,89.68,"['INHIB:CORROSION', '20L', 'CAN', '150', 'RUSTILO']",11/20/2017,10/13/2021,,-1
,223446_246,"VECTON/CRB MULTI 15W40,CAN OF 20L","OIL,AUTOMOTIVE:ENGINE,LIQUID,LIGHT AMBER,VECTON 15W40 CJ-4,20L DRUM,15W40,CI-4/SL,106.4CST AT 40DEG C/14.4CST AT 100DEG C,224DEG C,-  42DEG C","VECTON/CRB MULTI 15W40,CAN OF 20L",CASTROL,2494/20,EA,84.87,"['VECTON/CRB', 'MULTI', '15W40', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,110.16
,223446_247,"CASTROL RUSTILO DWX 31,CAN OF 20L","CASTROL RUSTILO DWX 31,CAN OF 20L","CASTROL RUSTILO DWX 31,CAN OF 20L",CASTROL,MPN: 1521A2,EA,290,"['CASTROL', 'RUSTILO', 'DWX', '31', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,DDP,345
,223446_248,CASTROL RUSTILO DWX 30 (1X20L),CASTROL RUSTILO DWX 30 (1X20L),CASTROL RUSTILO DWX 30 (1X20L),CASTROL,,EA,290,"['CASTROL', 'RUSTILO', 'DWX', '30', '(1X20L)']",11/20/2017,10/13/2021,DDP,345
